method,x,approx,exact,abs_error,rel_error
RungeKutta4,0,1,1,0,0
RungeKutta4,0.0034999999999999996,0.99649795435302024,0.99649795435297317,4.7073456244106637E-14,4.7238888989661038E-14
RungeKutta4,0.0069999999999999993,0.99299180140641519,0.99299180140631971,9.5479180117763462E-14,9.6153039715466297E-14
RungeKutta4,0.010499999999999999,0.98948151696078557,0.98948151696064013,1.4543921622589551E-13,1.4698527838358748E-13
RungeKutta4,0.013999999999999999,0.98596707655887528,0.98596707655867843,1.9684254226604025E-13,1.9964413310132079E-13
RungeKutta4,0.017499999999999998,0.98244845548158377,0.98244845548133386,2.4991120284312274E-13,2.5437589264733429E-13
RungeKutta4,0.020999999999999998,0.97892562874389744,0.9789256287435929,3.0453417565468044E-13,3.1109020615329243E-13
RungeKutta4,0.024499999999999997,0.97539857109073769,0.97539857109037698,3.6071146070071336E-13,3.6980929785179859E-13
RungeKutta4,0.027999999999999997,0.97186725699272436,0.97186725699230569,4.1866510258614653E-13,4.3078424504353966E-13
RungeKutta4,0.0315,0.96833166064185117,0.96833166064137277,4.7839510131097995E-13,4.9404054494498245E-13
RungeKutta4,0.035000000000000003,0.96479175594707201,0.9647917559465321,5.3990145687521363E-13,5.5960413586373176E-13
RungeKutta4,0.038500000000000006,0.96124751652979501,0.96124751652919171,6.0329519158131006E-13,6.2761690533076165E-13
RungeKutta4,0.04200000000000001,0.95769891571928278,0.95769891571861421,6.6857630542926927E-13,6.981069879640961E-13
RungeKutta4,0.045500000000000013,0.95414592654795571,0.95414592654721986,7.3585582072155375E-13,7.7121937037853027E-13
RungeKutta4,0.049000000000000016,0.95058852174659592,0.95058852174579056,8.0535578206308855E-13,8.4721807978844618E-13
RungeKutta4,0.052500000000000019,0.94702667373944938,0.94702667373857252,8.7685414484894864E-13,9.2590226776462798E-13
RungeKutta4,0.056000000000000022,0.94346035463922406,0.9434603546382736,9.5046193138159651E-13,1.0074211668862862E-12
RungeKutta4,0.059500000000000025,0.93988953624197991,0.9398895362409535,1.0264011862659572E-12,1.0920444868126549E-12
RungeKutta4,0.063000000000000028,0.93631419002190941,0.93631419002080463,1.1047829318044933E-12,1.1799275751429569E-12
RungeKutta4,0.066500000000000031,0.9327342871260047,0.93273428712481943,1.1852741010898171E-12,1.2707521503706622E-12
RungeKutta4,0.070000000000000034,0.92914979836860867,0.92914979836734013,1.2685408279367039E-12,1.3652705195265546E-12
RungeKutta4,0.073500000000000038,0.92556069422584664,0.9255606942244925,1.3541390231353034E-12,1.463047244317053E-12
RungeKutta4,0.077000000000000041,0.9219669448299358,0.9219669448284934,1.4424017535930034E-12,1.5644831538500179E-12
RungeKutta4,0.080500000000000044,0.91836851996336843,0.91836851996183499,1.5334400416122662E-12,1.6697436903362406E-12
RungeKutta4,0.084000000000000047,0.91476538905296623,0.91476538905133886,1.6273649094955545E-12,1.7789970291511846E-12
RungeKutta4,0.08750000000000005,0.91115752116380133,0.91115752116207727,1.7240653349404056E-12,1.8921704479136549E-12
RungeKutta4,0.091000000000000053,0.90754488499298092,0.90754488499115715,1.8237633625517446E-12,2.0095572050586236E-12
RungeKutta4,0.094500000000000056,0.90392744886329146,0.90392744886136478,1.9266810369344967E-12,2.1314553942988899E-12
RungeKutta4,0.098000000000000059,0.90030518071669874,0.90030518071466614,2.0325963134837366E-12,2.2576747940800073E-12
RungeKutta4,0.10150000000000006,0.89667804810769924,0.89667804810555729,2.1419532814093145E-12,2.3887651603934955E-12
RungeKutta4,0.10500000000000007,0.89304601819651908,0.89304601819426432,2.2547519407112304E-12,2.5247880789666779E-12
RungeKutta4,0.10850000000000007,0.88940905774215584,0.88940905773978496,2.3708812690870218E-12,2.6656814976741019E-12
RungeKutta4,0.11200000000000007,0.88576713309525934,0.88576713309276855,2.4907853557465387E-12,2.812009232090878E-12
RungeKutta4,0.11550000000000007,0.88212021019084552,0.88212021018823106,2.6144642006897811E-12,2.9638411754834926E-12
RungeKutta4,0.11900000000000008,0.87846825454084043,0.8784682545380984,2.7420288262192116E-12,3.1213749751861218E-12
RungeKutta4,0.12250000000000008,0.87481123122644733,0.87481123122357374,2.8735902546372927E-12,3.2848117994651759E-12
RungeKutta4,0.12600000000000008,0.87114910489033348,0.87114910488732411,3.0093705305489493E-12,3.4544838692427864E-12
RungeKutta4,0.12950000000000009,0.86748183972863002,0.86748183972548076,3.149258631651719E-12,3.6303453137841893E-12
RungeKutta4,0.13300000000000009,0.86380939948274038,0.86380939947944646,3.2939206917603769E-12,3.8132494202225822E-12
RungeKutta4,0.13650000000000009,0.86013174743095044,0.86013174742750742,3.4430236439675355E-12,4.0029026416606415E-12
RungeKutta4,0.1400000000000001,0.85644884637983587,0.85644884637623908,3.5967895328781196E-12,4.1996548282849113E-12
RungeKutta4,0.1435000000000001,0.85276065865545914,0.85276065865170347,3.7556624477019795E-12,4.404122551365705E-12
RungeKutta4,0.1470000000000001,0.84906714609435097,0.84906714609043143,3.9195313661366527E-12,4.6162796242514157E-12
RungeKutta4,0.15050000000000011,0.84536827003426862,0.84536827003018,4.088618332787064E-12,4.8364937243520202E-12
RungeKutta4,0.15400000000000011,0.84166399130472525,0.84166399130046199,4.2632564145606011E-12,5.0652712467261595E-12
RungeKutta4,0.15750000000000011,0.83795427021728242,0.83795427021283886,4.4435566337597265E-12,5.3028629266457554E-12
RungeKutta4,0.16100000000000012,0.83423906655559843,0.83423906655096869,4.6297410349893653E-12,5.5496574310582382E-12
RungeKutta4,0.16450000000000012,0.83051833956522569,0.83051833956040377,4.8219206405519799E-12,5.8059171132527226E-12
RungeKutta4,0.16800000000000012,0.82679204794314864,0.82679204793812811,5.0205395396574204E-12,6.0723123210331594E-12
RungeKutta4,0.17150000000000012,0.82306014982705344,0.82306014982182796,5.2254867100032243E-12,6.3488515524670173E-12
RungeKutta4,0.17500000000000013,0.81932260278432223,0.81932260277888491,5.4373172631017042E-12,6.6363569668698846E-12
RungeKutta4,0.17850000000000013,0.81557936380074214,0.815579363795086,5.6561422212553225E-12,6.935121794765273E-12
RungeKutta4,0.18200000000000013,0.81183038926892004,0.81183038926303797,5.8820726067665419E-12,7.2454452118545863E-12
RungeKutta4,0.18550000000000014,0.80807563497639423,0.80807563497027857,6.1156635311476748E-12,7.5681820691528809E-12
RungeKutta4,0.18900000000000014,0.80431505609343179,0.80431505608707465,6.3571370390036464E-12,7.9037896789851728E-12
RungeKutta4,0.19250000000000014,0.8005486071605028,0.80054860715389631,6.6064931303344565E-12,8.2524572165171657E-12
RungeKutta4,0.19600000000000015,0.79677624207541986,0.79677624206855546,6.8643979389548804E-12,8.615214129721908E-12
RungeKutta4,0.19950000000000015,0.79299791408013165,0.79299791407300058,7.131073509469843E-12,8.9925501478043668E-12
RungeKutta4,0.20300000000000015,0.78921357574716,0.78921357573975337,7.4066308641818068E-12,9.3848244528356484E-12
RungeKutta4,0.20650000000000016,0.78542317896566738,0.78542317895797575,7.6916251146030845E-12,9.792969345178063E-12
RungeKutta4,0.21000000000000016,0.78162667492714299,0.78162667491915649,7.9865003499435261E-12,1.0217794000809867E-11
RungeKutta4,0.21350000000000016,0.7778240141106938,0.77782401410240243,8.2913675925055941E-12,1.0659696077891512E-11
RungeKutta4,0.21700000000000016,0.77401514626792811,0.77401514625932133,8.606781953801601E-12,1.1119655726765756E-11
RungeKutta4,0.22050000000000017,0.77020002040741631,0.77020002039848312,8.9331875230413971E-12,1.1598529325299119E-11
RungeKutta4,0.22400000000000017,0.76637858477871479,0.76637858476944398,9.2708063448299072E-12,1.2096901621418314E-11
RungeKutta4,0.22750000000000017,0.76255078685593802,0.76255078684631761,9.620415575284369E-12,1.2616098155180146E-11
RungeKutta4,0.23100000000000018,0.75871657332086229,0.75871657331088016,9.982126236707245E-12,1.31565944223625E-11
RungeKutta4,0.23450000000000018,0.75487589004554467,0.75487589003518796,1.0356715485215773E-11,1.3719759263461058E-11
RungeKutta4,0.23800000000000018,0.75102868207444007,0.75102868206369555,1.074451638771734E-11,1.430639953462173E-11
RungeKutta4,0.24150000000000019,0.74717489360599842,0.74717489359485212,1.1146306100329184E-11,1.4917934469846994E-11
RungeKutta4,0.24500000000000019,0.74331446797372291,0.74331446796216072,1.1562195645353768E-11,1.5554918064318514E-11
RungeKutta4,0.24850000000000019,0.73944734762666986,0.73944734761467668,1.1993184223513254E-11,1.6219118591751767E-11
RungeKutta4,0.25200000000000017,0.73557347410936946,0.73557347409692975,1.2439715924017491E-11,1.6911588524966142E-11
RungeKutta4,0.25550000000000017,0.73169278804114657,0.73169278802824411,1.2902456880681257E-11,1.7633707877896551E-11
RungeKutta4,0.25900000000000017,0.72780522909481848,0.72780522908143652,1.3381962205016862E-11,1.83867354479717E-11
RungeKutta4,0.26250000000000018,0.72391073597474709,0.72391073596086786,1.3879231097746469E-11,1.9172572539704167E-11
RungeKutta4,0.26600000000000018,0.72000924639422059,0.720009246379826,1.4394596625777467E-11,1.999223856896987E-11
RungeKutta4,0.26950000000000018,0.7161006970521393,0.71610069703721013,1.492916901213448E-11,2.0847862700861869E-11
RungeKutta4,0.27300000000000019,0.71218502360897917,0.71218502359349545,1.5483725412934746E-11,2.1741155598121633E-11
RungeKutta4,0.27650000000000019,0.70826216066200487,0.70826216064594583,1.6059042984295502E-11,2.267386834457638E-11
RungeKutta4,0.28000000000000019,0.70433204171970365,0.70433204170304786,1.6655787860031523E-11,2.3647636162291575E-11
RungeKutta4,0.2835000000000002,0.70039459917540925,0.70039459915813373,1.7275514352377286E-11,2.4665402007262974E-11
RungeKutta4,0.2870000000000002,0.69644976428008354,0.69644976426216498,1.7918555528240176E-11,2.5728425002429992E-11
RungeKutta4,0.2905000000000002,0.69249746711422355,0.69249746709563731,1.8586243655249746E-11,2.6839439186257774E-11
RungeKutta4,0.29400000000000021,0.68853763655885747,0.68853763653957767,1.9279799978733081E-11,2.8001083680899132E-11
RungeKutta4,0.29750000000000021,0.68457020026559412,0.68457020024559412,2.000000165480742E-11,2.92154137691766E-11
RungeKutta4,0.30100000000000021,0.6805950846256863,0.68059508460493789,2.0748402995707238E-11,3.0485678583938708E-11
