t,x_analytical,x_pinn,abs_error
0.0,1.0,1.0,0.0
0.025041736227045076,0.9987502610881249,0.9987472295761108,3.03151201408447e-06
0.05008347245409015,0.9950207847437162,0.9950151443481445,5.640395571715473e-06
0.07512520868113523,0.9888455919580886,0.9888432025909424,2.389367146249377e-06
0.1001669449081803,0.9802644674705472,0.9802722334861755,7.766015628352108e-06
0.12520868113522537,0.9693228030475483,0.9693459272384644,2.312419091610174e-05
0.15025041736227046,0.9560714283325668,0.9561113119125366,3.9883579969868244e-05
0.17529215358931552,0.9405664298126348,0.9406212568283081,5.4827015673275525e-05
0.2003338898163606,0.9228689584717201,0.9229335784912109,6.462001949081309e-05
0.2253756260434057,0.9030450267236686,0.903113603591919,6.857686825034737e-05
0.25041736227045075,0.8811652952382695,0.8812321424484253,6.684721015581818e-05
0.27545909849749584,0.8573048502931137,0.8573663830757141,6.153278260045969e-05
0.3005008347245409,0.8315429723012467,0.831598162651062,5.51903498152706e-05
0.325542570951586,0.8039628961801608,0.8040134906768799,5.059449671906968e-05
0.35058430717863104,0.7746515642413953,0.7747009992599487,4.943501855347865e-05
0.3756260434056761,0.7436993722919056,0.743752658367157,5.328607525134643e-05
0.4006677796327212,0.7111999096484177,0.7112606763839722,6.0766735554440565e-05
0.4257095158597663,0.6772496937741748,0.677320659160614,7.096538643924788e-05
0.4507512520868114,0.6419479002538416,0.64202880859375,8.090833990836988e-05
0.4757929883138564,0.605396088826826,0.6054849028587341,8.88140319080799e-05
0.5008347245409015,0.5676979262019305,0.5677907466888428,9.282048691228173e-05
0.5258764607679466,0.528958906377084,0.529051661491394,9.275511431006134e-05
0.5509181969949917,0.4892860691869023,0.48937520384788513,8.913466098281475e-05
0.5759599332220368,0.44878771779805576,0.44887182116508484,8.410336702907584e-05
0.6010016694490818,0.4075731358678678,0.4076525568962097,7.942102834190834e-05
0.6260434056761269,0.3657523050752765,0.3658292591571808,7.69540819042791e-05
0.651085141903172,0.3234356237252982,0.32351306080818176,7.743708288354689e-05
0.676126878130217,0.2807336271184606,0.2808145582675934,8.0931149132768e-05
0.7011686143572621,0.23775671036538443,0.23784346878528595,8.675841990152255e-05
0.7262103505843072,0.19461485431380365,0.19470751285552979,9.265854172613164e-05
0.7512520868113522,0.15141735524090166,0.15151464939117432,9.72941502726532e-05
0.7762938230383973,0.10827255894794008,0.10837201774120331,9.94587932632296e-05
0.8013355592654424,0.065287599876817,0.06538563966751099,9.80397906939906e-05
0.8263772954924875,0.022568145849491413,0.022661970928311348,9.382507881993546e-05
0.8514190317195326,-0.019781850988815974,-0.019694453105330467,8.739788348550645e-05
0.8764607679465777,-0.06166039646299831,-0.06158004328608513,8.035317691318378e-05
0.9015025041736228,-0.10296768936083067,-0.1028934121131897,7.427724764097476e-05
0.9265442404006679,-0.14360634861150975,-0.1435362845659256,7.006404558415613e-05
0.9515859766277128,-0.1834816321609682,-0.18341314792633057,6.848423463762243e-05
0.9766277128547579,-0.22250164708055553,-0.22243265807628632,6.898900426921539e-05
1.001669449081803,-0.26057755047217396,-0.2605065405368805,7.100993529346455e-05
1.0267111853088482,-0.2976237407602781,-0.29755035042762756,7.339033265052475e-05
1.0517529215358932,-0.33355803898921416,-0.3334828317165375,7.520727267668059e-05
1.0767946577629381,-0.36830185977312335,-0.36822667717933655,7.518259378680447e-05
1.1018363939899833,-0.40178037157496105,-0.4017077684402466,7.260313471446622e-05
1.1268781302170283,-0.4339226460210385,-0.4338545799255371,6.806609550141784e-05
1.1519198664440735,-0.46466179598779017,-0.46460023522377014,6.156076402002997e-05
1.1769616026711185,-0.4939351022280859,-0.4938810169696808,5.4085258405112135e-05
1.2020033388981637,-0.5216841283353529,-0.5216372013092041,4.692702614883526e-05
1.2270450751252087,-0.5478548238748583,-0.547813892364502,4.093151035633458e-05
1.2520868113522539,-0.5723976155427515,-0.5723608732223511,3.6742320400406925e-05
1.2771285475792988,-0.5952674862447106,-0.5952326655387878,3.482070592275566e-05
1.302170283806344,-0.6164240420172775,-0.6163897514343262,3.429058295134624e-05
1.327212020033389,-0.635831566746053,-0.6357967853546143,3.478139143875403e-05
1.352253756260434,-0.6534590646658418,-0.6534242630004883,3.480166535352325e-05
1.3772954924874792,-0.6692802906584703,-0.6692464351654053,3.3855493065004794e-05
1.4023372287145242,-0.6832737683942884,-0.6832427382469177,3.103014737071419e-05
1.4273789649415694,-0.6954227963932477,-0.6953967213630676,2.6075030180039427e-05
1.4524207011686143,-0.7057154421108324,-0.705696165561676,1.9276549156344025e-05
1.4774624373956595,-0.7141445241829546,-0.7141328454017639,1.1678781190682663e-05
1.5025041736227045,-0.7207075829921304,-0.7207033038139343,4.279178196120448e-06
1.5275459098497497,-0.7254068397447885,-0.7254082560539246,1.416309136081928e-06
1.5525876460767947,-0.728249144276324,-0.7282545566558838,5.412379559754932e-06
1.5776293823038399,-0.7292459118264945,-0.7292530536651611,7.141838666679945e-06
1.6026711185308848,-0.7284130490528478,-0.728420615196228,7.56614338026651e-06
1.6277128547579298,-0.7257708695740646,-0.7257780432701111,7.17369604652518e-06
1.652754590984975,-0.7213439993583136,-0.7213507890701294,6.789711815780031e-06
1.67779632721202,-0.7151612722939147,-0.7151694893836975,8.217089782824871e-06
1.7028380634390652,-0.7072556163007466,-0.7072669267654419,1.1310464695268863e-05
1.7278797996661102,-0.6976639303608615,-0.6976799368858337,1.6006524972245195e-05
1.7529215358931554,-0.6864269528656601,-0.6864485740661621,2.162120050197558e-05
1.7779632721202003,-0.6735891216946881,-0.6736170053482056,2.7883653517468687e-05
1.8030050083472455,-0.6591984264576072,-0.6592323780059814,3.395154837426695e-05
1.8280467445742905,-0.6433062533461532,-0.6433448791503906,3.862580423741324e-05
1.8530884808013357,-0.6259672230568745,-0.6260091662406921,4.1943183817672036e-05
1.8781302170283807,-0.6072390222581487,-0.6072828769683838,4.385471023504728e-05
1.9031719532554257,-0.587182229086361,-0.587226390838623,4.416175226207297e-05
1.9282136894824708,-0.5658601331661925,-0.565903902053833,4.376888764046072e-05
1.9532554257095158,-0.5433385506587071,-0.5433815121650696,4.29615063625155e-05
1.978297161936561,-0.5196856348482968,-0.5197285413742065,4.29065259097694e-05
2.003338898163606,-0.4949716827856026,-0.49501553177833557,4.384899273296439e-05
2.028380634390651,-0.46926893850819834,-0.46931466460227966,4.5726094081322e-05
2.0534223706176964,-0.4426513933641738,-0.4426998794078827,4.84860437088841e-05
2.0784641068447414,-0.41519458396575437,-0.41524678468704224,5.2200721287865015e-05
2.1035058430717863,-0.386975388300727,-0.38703182339668274,5.643509595576468e-05
2.1285475792988313,-0.35807182052882425,-0.3581315875053406,5.9766976516328896e-05
2.1535893155258763,-0.328562824988198,-0.3286251723766327,6.234738843469145e-05
2.1786310517529217,-0.29852806993388575,-0.2985914349555969,6.336502171117031e-05
2.2036727879799667,-0.2680477415256285,-0.26811084151268005,6.30999870515625e-05
2.2287145242070117,-0.23720233857660428,-0.23726414144039154,6.180286378726363e-05
2.2537562604340566,-0.20607246856768416,-0.20613212883472443,5.9660267040267945e-05
2.278797996661102,-0.17473864542357986,-0.17479608952999115,5.744410641128628e-05
2.303839732888147,-0.14328108953795898,-0.1433374583721161,5.6368834157105585e-05
2.328881469115192,-0.11177953052408598,-0.11183570325374603,5.6172729660047827e-05
2.353923205342237,-0.08031301315604884,-0.08037026971578598,5.725655973713717e-05
2.3789649415692824,-0.04895970695299381,-0.04901896044611931,5.9253493125500933e-05
2.4040066777963274,-0.017796719845207785,-0.017858071252703667,6.135140749588194e-05
2.4290484140233723,0.013100083653668396,0.013036919757723808,6.316389594458738e-05
2.4540901502504173,0.04365625935949577,0.04359310492873192,6.315443076385097e-05
2.4791318864774623,0.07379895502308587,0.07373709231615067,6.186270693520068e-05
2.5041736227045077,0.10345707625294515,0.10339777916669846,5.929708624669017e-05
2.5292153589315527,0.13256144639790376,0.13250580430030823,5.56420975955374e-05
2.5542570951585977,0.1610449600508969,0.16099321842193604,5.174162896087742e-05
