t,x_true,x_pinn
0.0,1.0,1.0000025033950806
0.025041736227045076,0.9987502610881249,0.998737096786499
0.05008347245409015,0.9950207847437162,0.9949623346328735
0.07512520868113523,0.9888455919580886,0.9887110590934753
0.1001669449081803,0.9802644674705472,0.9800194501876831
0.12520868113522537,0.9693228030475483,0.9689282178878784
0.15025041736227046,0.9560714283325668,0.9554822444915771
0.17529215358931552,0.9405664298126348,0.939732015132904
0.2003338898163606,0.9228689584717201,0.9217338562011719
0.2253756260434057,0.9030450267236686,0.9015491008758545
0.25041736227045075,0.8811652952382695,0.8792442083358765
0.27545909849749584,0.8573048502931137,0.8548904657363892
0.3005008347245409,0.8315429723012467,0.8285636901855469
0.325542570951586,0.8039628961801608,0.8003432750701904
0.35058430717863104,0.7746515642413953,0.7703112363815308
0.3756260434056761,0.7436993722919056,0.7385533452033997
0.4006677796327212,0.7111999096484177,0.705157995223999
0.4257095158597663,0.6772496937741748,0.670217752456665
0.4507512520868114,0.6419479002538416,0.6338279247283936
0.4757929883138564,0.605396088826826,0.5960891246795654
0.5008347245409015,0.5676979262019305,0.557106614112854
0.5258764607679466,0.528958906377084,0.5169913172721863
0.5509181969949917,0.4892860691869023,0.475859671831131
0.5759599332220368,0.44878771779805576,0.43383392691612244
0.6010016694490818,0.4075731358678678,0.3910418450832367
0.6260434056761269,0.3657523050752765,0.347616046667099
0.651085141903172,0.3234356237252982,0.30369189381599426
0.676126878130217,0.2807336271184606,0.25940823554992676
0.7011686143572621,0.23775671036538443,0.21490302681922913
0.7262103505843072,0.19461485431380365,0.17031294107437134
0.7512520868113522,0.15141735524090166,0.125771164894104
0.7762938230383973,0.10827255894794008,0.08140543848276138
0.8013355592654424,0.065287599876817,0.037338051944971085
0.8263772954924875,0.022568145849491413,-0.006315167061984539
0.8514190317195326,-0.019781850988815974,-0.049444761127233505
0.8764607679465777,-0.06166039646299831,-0.09194543212652206
0.9015025041736228,-0.10296768936083067,-0.13371741771697998
0.9265442404006679,-0.14360634861150975,-0.17466485500335693
0.9515859766277128,-0.1834816321609682,-0.214695006608963
0.9766277128547579,-0.22250164708055553,-0.25372064113616943
1.001669449081803,-0.26057755047217396,-0.291657954454422
1.0267111853088482,-0.2976237407602781,-0.32842904329299927
1.0517529215358932,-0.33355803898921416,-0.36396101117134094
1.0767946577629381,-0.36830185977312335,-0.3981863558292389
1.1018363939899833,-0.40178037157496105,-0.4310432970523834
1.1268781302170283,-0.4339226460210385,-0.4624723494052887
1.1519198664440735,-0.46466179598779017,-0.4924182593822479
